AGE_DIFFERENCE	Q23	PP2_RESPONDENT_YRSED	PARTNER_YRSED	RESPONDENT_RELIGION_AT_16	PARTNER_RELIGION_AT_16	PP2_PPINCIMP	success
0	3	13	20	2	2	11	1
3	1	11	12	2	3	7	-1
10	3	13	16	1	11	9	-1
1	2	16	17	2	2	19	1
1	3	13	14	13	1	8	1
10	3	17	20	13	3	14	1
18	3	12	11	13	1	4	1
1	3	16	14	2	4	14	1
0	2	12	12	1	1	5	1
6	3	17	12	9	1	13	1
1	1	16	17	13	3	14	1
1	1	16	16	3	3	13	1
0	1	14	16	3	11	13	1
2	1	16	16	3	3	15	1
2	1	13	13	2	2	12	-1
1	3	13	12	3	3	13	1
1	3	16	14	10	13	17	1
3	1	13	13	13	3	14	1
17	1	16	16	1	2	12	-1
8	1	17	16	3	13	11	-1
13	2	13	12	1	1	15	-1
3	1	13	14	13	13	17	-1
0	1	16	17	11	13	11	1
4	3	12	12	1	13	6	1
13	1	16	16	11	9	15	-1
2	1	17	14	2	13	9	1
12	1	10	12	2	2	10	-1
3	3	12	16	13	11	12	1
9	1	16	16	3	5	15	1
4	2	16	16	11	3	12	1
3	3	14	13	2	11	15	1
1	3	12	12	1	1	11	1
13	3	16	16	2	13	16	-1
0	1	14	13	11	13	13	1
6	3	14	20	12	2	14	1
5	1	12	12	2	2	8	1
22	3	13	17	12	13	6	-1
6	1	12	12	1	13	11	1
1	3	16	17	1	2	17	-1
0	3	16	16	1	2	12	1
13	2	16	12	1	1	13	-1
1	1	12	12	1	2	13	1
5	2	10	12	1	1	12	1
1	3	13	13	13	3	14	1
1	1	13	13	11	2	14	-1
2	3	11	13	11	11	11	1
2	2	12	13	11	3	15	1
12	3	13	13	1	3	10	-1
1	2	16	12	3	11	9	-1
4	1	12	12	11	13	14	1
0	3	16	16	3	2	11	1
5	3	13	13	3	3	18	-1
0	3	10	12	9	2	12	1
31	1	13	13	3	3	13	1
2	1	17	12	13	2	9	1
16	1	14	12	3	3	16	1
1	2	13	14	2	2	8	1
8	1	12	13	3	3	12	1
9	1	12	5.5	9	11	6	1
4	1	12	17	1	2	13	-1
1	3	16	20	2	3	16	1
3	3	7.5	12	9	9	10	1
1	3	16	16	2	13	15	1
2	1	16	12	3	3	13	1
1	3	17	16	2	3	19	-1
17	1	14	13	3	11	9	1
1	1	12	13	13	13	13	1
6	2	12	12	3	13	16	-1
4	2	13	13	2	3	16	1
5	1	12	12	2	3	13	1
4	3	16	13	1	2	12	-1
3	1	12	11	1	13	5	1
3	1	12	12	13	11	14	1
6	1	13	13	11	3	10	-1
5	2	16	13	11	2	14	1
3	3	17	17	5	2	16	1
4	3	14	13	11	3	14	-1
0	3	17	16	2	2	17	1
2	3	13	10	3	3	4	1
8	3	13	13	5	5	14	1
6	3	16	12	3	3	7	-1
1	2	13	16	3	2	12	1
1	3	16	16	3	11	14	1
16	3	12	13	3	3	16	-1
1	1	12	12	3	2	4	-1
2	1	10	12	11	11	12	1
3	3	12	13	3	3	13	1
1	1	12	12	2	2	11	1
2	2	13	13	1	1	12	-1
