AGE_DIFFERENCE	Q23	PP2_RESPONDENT_YRSED	PARTNER_YRSED	RESPONDENT_RELIGION_AT_16	PARTNER_RELIGION_AT_16	PP2_PPINCIMP	success
0	3	17	17	2	12	15	1
1	1	13	13	11	13	11	-1
8	1	17	12	3	2	13	1
1	3	16	16	13	2	11	1
1	1	16	16	2	2	14	1
0	1	14	12	3	1	15	1
5	1	16	13	2	13	19	1
26	1	16	12	12	2	11	-1
0	3	13	17	3	2	14	1
1	3	13	12	2	1	15	1
0	3	17	20	11	13	16	1
0	1	13	12	2	3	14	1
3	1	13	13	13	3	19	1
1	1	16	14	3	3	14	1
2	3	12	12	11	13	18	1
1	2	13	13	1	11	9	1
0	3	14	14	2	2	13	1
11	3	16	13	2	3	15	-1
2	1	12	12	4	4	15	1
0	1	20	16	4	11	17	1
1	1	17	16	3	3	18	1
9	1	13	16	13	13	14	1
2	3	17	17	2	3	13	1
0	2	12	12	3	3	8	1
6	3	12	13	3	2	17	-1
1	1	12	13	1	3	14	-1
12	3	13	20	2	2	12	1
4	2	12	12	13	13	2	-1
6	1	12	12	13	13	16	1
2	3	12	13	13	4	8	-1
9	1	14	12	2	1	13	1
0	3	11	14	13	3	12	1
9	1	16	9	3	3	16	1
2	3	12	17	5	2	16	1
1	1	12	12	3	3	12	1
2	3	16	16	5	5	8	1
1	3	12	12	3	3	11	1
4	1	20	17	3	3	19	1
6	3	17	17	1	2	13	-1
3	3	14	12	11	11	11	1
0	2	13	16	2	1	13	-1
7	3	12	12	2	2	13	1
3	1	20	16	1	2	13	1
4	1	16	17	3	1	18	1
1	1	13	16	2	2	14	1
2	1	12	12	13	2	10	-1
7	1	13	17	3	3	18	-1
9	1	17	14	2	3	16	1
5	2	12	14	3	3	10	1
2	1	14	12	3	2	17	1
5	3	16	12	2	11	13	1
2	1	13	12	2	13	12	1
1	2	16	17	2	5	13	-1
2	2	14	12	11	1	16	-1
0	1	14	13	13	11	12	-1
1	3	9	13	2	2	12	1
0	1	13	13	3	3	19	-1
2	1	16	14	2	3	13	1
2	1	13	12	1	1	15	1
16	-1	12	20	12	2	10	1
3	3	16	16	2	11	13	1
6	1	13	20	3	3	11	1
8	1	13	14	3	2	16	1
1	3	13	13	1	13	19	-1
14	3	14	12	11	1	12	1
10	2	13	12	2	13	4	-1
45	3	13	16	1	2	12	1
2	2	16	16	13	2	16	1
2	1	13	13	13	11	13	1
1	1	16	17	3	11	16	1
12	1	12	13	2	3	15	1
5	1	16	13	4	11	17	1
4	2	14	16	2	3	16	1
2	1	20	17	3	3	13	1
2	3	13	13	3	1	3	-1
8	3	10	13	2	3	5	1
2	1	12	11	13	13	8	1
2	1	16	13	1	12	14	1
3	1	16	16	3	3	11	1
1	2	13	16	3	2	16	1
4	1	14	16	2	2	12	1
22	3	13	12	2	2	13	-1
4	3	12	13	3	3	7	1
7	1	12	12	3	3	8	-1
12	2	9	10	2	1	6	1
4	1	16	14	2	6	19	-1
5	3	20	16	13	3	16	1
1	3	16	13	2	13	12	1
3	3	13	14	11	13	14	-1
7	3	16	17	1	2	13	-1
0	2	16	17	2	3	17	1
7	3	16	17	13	13	13	1
0	1	16	13	3	3	10	1
4	3	13	14	11	13	16	1
0	1	13	13	2	3	15	-1
4	1	16	13	3	3	15	1
1	3	20	20	2	3	18	1
0	1	13	13	1	11	13	1
10	3	13	16	2	11	13	-1
1	1	17	17	2	2	17	1
7	1	12	14	2	2	11	1
4	3	17	16	11	11	18	1
4	3	13	13	2	2	15	1
1	3	12	12	2	11	13	1
2	1	16	13	3	3	18	-1
1	1	17	20	2	1	12	1
3	3	16	16	1	1	13	1
2	3	12	12	9	2	11	1
3	3	16	9	13	11	13	1
13	1	13	13	13	2	13	1
4	2	12	12	3	3	14	1
1	1	17	17	3	3	16	1
11	3	13	16	12	1	13	-1
4	1	12	9	13	3	13	-1
2	1	16	17	2	2	14	1
3	2	12	16	11	11	13	1
3	1	12	14	2	1	12	1
9	3	12	12	3	11	18	1
5	3	16	16	13	13	17	1
7	3	17	17	11	3	14	1
2	3	13	13	11	11	13	1
3	1	13	13	13	13	16	1
5	3	12	9	3	3	9	1
5	1	14	12	2	2	12	1
9	3	20	17	2	1	19	1
3	1	13	14	2	2	13	1
5	1	20	12	2	3	16	1
2	2	14	13	1	1	13	1
0	3	16	16	13	2	17	1
0	1	20	16	2	9	15	1
35	1	16	12	2	2	4	-1
4	3	13	16	1	1	19	1
10	3	16	13	1	3	15	-1
27	3	14	13	5	3	15	1
3	3	16	14	13	11	15	-1
17	3	17	17	3	3	15	1
4	3	12	13	3	3	10	1
2	1	10	12	2	2	10	1
0	1	17	14	3	3	14	1
0	1	16	16	5	5	19	1
6	1	12	12	13	3	13	1
10	3	16	12	2	2	14	1
1	1	17	12	2	13	15	1
3	3	17	16	10	10	15	1
11	1	20	20	2	3	17	1
3	2	12	10	2	1	6	-1
2	2	11	12	3	3	12	1
1	1	16	14	2	3	5	-1
4	1	16	16	3	5	16	1
2	-1	13	13	3	3	12	1
1	2	16	13	3	2	17	-1
3	3	9	12	12	11	5	-1
7	3	16	17	3	2	16	-1
10	3	20	20	3	3	17	1
2	1	16	16	2	2	14	1
1	1	12	13	11	13	13	-1
1	2	13	13	13	11	5	1
2	3	12	14	2	12	7	1
4	3	17	16	13	3	7	1
9	2	20	20	13	13	19	1
0	1	12	12	4	4	18	1
0	1	12	13	9	3	9	1
5	3	16	13	11	13	9	1
2	1	12	13	3	3	16	1
5	3	12	14	3	3	7	1
0	1	14	12	2	2	16	1
1	1	13	14	11	3	10	1
4	-1	13	11	5	3	7	-1
3	1	17	16	2	1	16	1
3	3	13	13	3	2	15	-1
20	3	16	16	2	2	15	1
7	1	13	13	3	2	5	1
0	1	13	13	3	3	18	1
6	1	16	16	2	2	18	1
5	3	13	13	1	1	12	-1
3	1	12	13	2	3	17	1
6	3	16	16	2	11	15	1
0	2	12	12	1	1	12	-1
0	2	13	13	3	3	13	-1
2	1	17	13	1	1	15	-1
2	1	17	14	11	2	13	1
1	1	17	20	3	3	16	1
1	1	16	12	3	2	16	1
7	1	13	14	3	1	12	1
8	1	12	14	1	2	12	-1
8	1	13	12	3	3	8	1
7	3	12	13	2	1	12	1
0	3	17	17	2	1	17	1
3	1	16	13	3	2	19	1
0	2	17	12	2	3	16	1
3	1	16	13	3	1	15	-1
1	2	20	17	2	2	19	1
1	1	20	20	3	2	17	1
1	1	17	16	13	1	13	1
4	3	12	13	13	3	12	1
10	1	13	13	13	3	14	1
4	1	17	13	2	11	13	1
23	3	17	12	1	1	13	-1
7	3	13	12	11	13	12	-1
4	2	12	12	9	11	13	1
4	3	16	13	2	13	11	1
12	3	12	10	1	1	11	1
2	1	13	13	4	3	13	1
4	3	16	13	4	4	13	1
1	3	14	13	1	8	14	1
1	1	16	13	12	13	14	1
1	3	12	16	3	3	16	1
4	3	16	16	2	2	16	1
0	3	16	16	1	2	12	-1
7	1	16	14	12	13	9	1
1	3	16	17	13	13	14	1
2	1	13	12	3	3	9	1
2	1	17	17	1	11	15	1
9	3	14	20	13	12	12	1
3	3	16	17	2	2	13	1
3	3	12	12	1	1	8	1
1	2	12	13	3	3	10	1
9	1	17	16	3	2	15	-1
2	1	13	17	2	13	4	-1
10	1	16	14	13	13	17	1
2	1	13	12	3	3	7	-1
5	3	12	10	2	13	11	1
11	3	12	16	2	3	15	1
1	1	16	16	11	10	16	1
3	1	13	12	1	1	8	1
2	2	12	12	3	1	16	-1
3	1	7.5	9	2	2	13	1
3	3	13	12	13	9	11	-1
2	3	12	17	9	2	9	1
7	1	16	16	13	11	11	1
2	2	16	17	3	3	18	1
3	1	13	12	1	1	9	-1
6	3	13	13	1	1	12	1
8	1	20	12	1	1	13	1
0	1	13	14	1	1	13	1
1	1	16	16	2	11	11	1
9	3	16	16	13	13	9	1
4	1	16	16	3	3	14	1
1	3	13	12	13	2	10	1
0	3	16	13	3	3	14	1
3	3	12	12	3	3	12	1
10	3	13	12	1	1	3	1
1	2	12	16	1	1	12	1
0	3	12	12	1	1	11	1
0	1	16	16	2	11	16	1
4	1	16	13	4	4	15	1
1	3	14	16	2	2	18	1
3	1	20	20	13	13	15	1
1	3	17	17	2	13	13	1
3	2	20	20	2	3	19	1
6	2	16	14	3	3	12	-1
2	1	16	17	11	11	18	1
1	3	16	14	1	1	11	1
11	3	13	11	3	2	12	1
0	1	16	16	1	1	14	1
6	2	17	16	2	3	15	1
1	3	16	16	3	11	12	-1
1	1	17	17	5	5	17	1
0	3	13	16	3	3	13	-1
8	2	16	16	11	1	11	1
6	1	13	12	11	11	10	-1
3	3	16	12	11	1	13	-1
0	1	14	14	11	11	17	1
2	2	16	13	11	3	15	-1
1	1	16	13	2	2	12	1
2	3	13	20	5	3	1	-1
7	3	12	13	1	2	14	1
2	3	16	12	2	11	17	1
0	1	16	16	2	3	16	1
8	1	16	17	3	3	12	1
3	1	14	16	3	2	14	1
5	1	12	14	1	1	13	1
2	3	12	12	3	13	14	1
3	1	17	20	2	2	13	1
3	3	16	13	1	1	11	1
1	2	12	14	11	11	8	-1
0	1	13	14	5	2	11	1
8	3	13	13	2	2	7	1
17	1	20	17	13	3	15	1
7	3	12	12	2	13	13	-1
2	2	13	13	3	3	12	1
9	1	17	16	3	3	17	1
5	2	12	13	2	2	7	-1
1	1	14	12	3	2	13	-1
4	1	20	16	3	2	15	-1
4	1	11	12	13	9	6	1
2	1	13	16	12	3	16	1
0	3	12	13	3	9	13	1
7	3	14	16	11	11	14	1
10	3	12	12	13	9	12	1
6	1	12	12	7	9	16	1
7	3	13	20	3	13	6	1
2	2	16	16	3	13	13	1
16	3	12	16	1	2	14	1
3	3	20	17	5	5	16	1
1	1	12	13	11	2	11	1
11	1	13	16	2	5	11	1
2	1	16	17	3	3	16	1
15	1	16	12	3	3	16	-1
10	1	17	16	2	13	15	1
2	3	12	12	1	1	11	-1
10	3	16	17	3	2	11	1
4	1	14	12	1	1	15	-1
1	1	16	16	9	9	15	1
0	3	20	17	2	2	13	1
1	1	16	16	13	3	14	-1
1	1	16	16	2	2	15	1
6	1	13	12	13	3	16	-1
5	2	13	16	2	11	7	1
5	3	12	20	11	2	18	1
2	1	13	13	2	3	3	1
9	1	12	14	11	11	11	1
0	3	13	16	11	2	12	1
0	1	12	13	11	12	12	1
7	1	17	12	11	3	17	1
9	1	20	14	2	1	16	1
1	3	14	20	11	11	7	1
5	1	13	12	1	1	6	-1
0	1	12	12	3	1	17	1
2	3	11	12	1	1	14	1
2	1	12	12	3	13	13	1
16	3	12	12	3	13	7	1
1	1	20	17	13	2	13	1
2	1	16	14	2	13	13	1
2	1	17	11	11	13	16	-1
9	3	12	12	11	11	11	1
0	1	12	13	3	2	13	1
4	3	16	13	3	13	11	1
9	1	12	12	3	3	10	-1
8	3	16	16	3	13	19	1
1	3	12	12	3	3	11	1
8	1	13	7.5	2	13	7	-1
1	3	13	12	13	1	4	1
4	1	14	16	2	2	13	-1
0	3	13	13	3	2	9	-1
5	1	13	13	1	1	12	-1
5	2	11	12	3	1	16	1
1	1	13	12	1	1	13	1
4	3	14	13	11	1	7	1
10	1	13	12	13	13	10	1
7	2	11	12	2	2	11	1
1	1	12	12	1	1	13	1
4	3	12	12	8	2	18	1
2	3	20	16	11	13	15	1
6	1	20	16	13	1	17	1
2	1	17	13	2	9	14	1
1	3	13	13	1	1	13	1
1	3	13	12	11	2	10	1
1	1	17	12	3	3	17	1
1	1	17	13	3	11	13	1
0	3	20	17	2	13	19	1
6	1	12	11	1	3	13	1
8	1	17	17	3	3	11	1
7	1	12	12	3	3	14	-1
1	1	11	11	2	3	6	1
0	1	16	16	13	13	7	1
7	3	12	13	3	3	12	1
5	1	16	13	2	13	14	1
0	3	13	16	1	1	11	1
4	3	16	13	13	3	16	1
1	1	16	16	2	2	19	1
1	3	16	16	4	2	12	1
3	3	16	14	2	2	18	1
0	3	16	17	3	11	12	1
0	1	17	16	1	2	19	1
4	3	13	13	11	3	13	-1
0	3	12	11	1	3	11	1
4	2	12	13	3	13	3	1
0	3	16	17	12	2	16	1
0	1	11	12	3	11	8	1
9	1	12	12	3	3	16	1
1	1	17	16	3	5	17	-1
0	1	12	12	3	3	16	1
1	2	12	20	3	3	15	1
2	1	16	17	7	7	15	1
0	1	20	20	1	1	10	1
3	2	16	12	2	11	10	1
9	3	12	11	11	11	8	1
2	1	11	11	11	13	12	1
0	2	14	14	3	4	10	-1
2	3	13	20	5	5	18	1
10	1	13	13	3	3	14	1
1	2	13	13	12	13	4	-1
6	3	16	14	11	11	16	1
22	1	17	14	3	2	17	1
5	2	16	14	11	1	15	1
6	1	11	12	2	3	17	1
0	1	17	16	3	3	16	1
3	1	16	13	3	3	8	-1
2	3	16	16	2	2	14	1
2	1	20	13	13	13	16	1
9	3	12	16	1	11	13	-1
0	3	12	11	3	3	13	1
2	1	16	12	11	9	11	1
2	2	12	13	1	2	11	1
1	3	12	12	1	1	9	1
3	3	13	16	2	2	16	1
13	3	13	12	2	2	14	1
6	1	20	13	2	3	14	1
2	1	16	14	2	2	13	-1
2	1	16	16	2	3	12	1
11	1	16	16	2	3	15	1
0	3	12	13	11	13	7	1
4	3	12	0	9	3	9	1
5	3	17	17	13	2	14	1
3	3	16	13	3	11	11	-1
1	3	13	12	1	1	14	1
3	1	17	16	1	11	13	1
15	2	16	17	13	5	3	-1
16	3	13	12	11	11	8	1
9	3	20	17	2	2	3	-1
10	1	12	16	3	2	15	1
8	1	17	12	2	3	11	-1
2	1	14	14	13	3	13	1
1	3	16	16	12	5	15	-1
14	3	12	12	11	3	13	-1
1	3	12	12	9	9	12	-1
2	3	16	20	2	1	19	1
5	1	16	12	3	11	11	-1
2	1	9	12	3	3	9	1
4	1	17	13	11	11	12	-1
4	1	12	12	1	1	11	1
1	3	16	16	11	3	10	-1
0	1	16	12	5	13	16	1
6	3	16	12	1	13	11	1
5	3	16	17	13	6	15	1
2	3	13	13	13	1	15	-1
0	1	13	13	13	13	15	1
1	1	12	14	2	2	13	1
1	1	14	10	13	2	13	1
8	1	12	12	2	2	13	1
0	2	13	13	3	3	17	-1
1	3	13	14	12	3	13	1
0	3	14	16	13	13	13	1
16	3	12	13	11	9	9	1
4	3	16	16	5	13	9	-1
3	3	13	16	2	1	19	-1
3	1	14	13	3	13	16	-1
0	1	12	14	11	2	14	1
6	1	12	12	3	2	12	1
1	1	16	13	11	11	19	1
3	1	16	13	13	1	12	1
13	2	13	13	3	3	10	-1
23	3	11	12	3	11	4	1
9	3	13	16	3	2	16	1
1	1	17	17	1	1	15	1
1	1	12	13	13	1	10	1
0	1	12	12	3	2	11	-1
5	3	16	12	1	1	14	-1
8	1	16	16	3	3	16	1
0	3	11	12	2	3	10	-1
3	2	12	13	2	3	17	1
10	3	13	11	13	1	16	-1
6	3	11	12	13	13	15	-1
4	1	14	16	4	4	8	1
3	3	12	12	3	2	13	1
1	1	17	13	3	4	13	1
1	1	17	14	4	4	14	1
6	1	17	16	3	3	19	1
4	3	12	16	3	3	10	1
1	3	12	14	11	11	9	1
0	1	12	5.5	3	3	10	1
5	3	12	12	2	12	6	1
3	2	16	14	13	3	10	1
7	1	12	12	3	13	14	-1
4	2	13	16	2	3	15	1
11	1	13	13	11	1	9	1
0	1	17	13	2	3	16	1
0	1	16	16	3	11	15	1
0	1	14	13	1	3	11	1
1	1	12	12	1	1	11	1
7	1	16	13	1	13	13	1
1	1	16	16	11	2	18	1
5	1	17	13	11	2	11	1
0	1	13	16	3	3	12	1
13	3	11	13	3	3	16	1
3	2	16	17	1	2	14	1
1	1	16	13	3	1	16	1
2	1	13	13	3	4	16	1
2	1	16	13	3	3	11	1
3	1	16	12	3	3	13	-1
8	3	14	16	3	3	15	-1
1	1	13	12	12	12	6	-1
2	1	12	14	2	2	12	1
3	1	17	17	3	13	15	1
1	1	13	16	13	3	13	1
3	2	12	12	3	3	14	1
11	1	14	13	12	11	10	1
8	3	11	13	3	3	5	1
1	2	16	17	13	3	17	1
2	1	16	12	3	13	8	1
4	3	16	16	2	1	14	1
11	2	17	13	13	3	13	-1
5	1	13	13	1	1	8	1
4	1	16	13	2	3	15	1
3	3	13	13	11	13	13	1
16	2	13	13	3	9	15	1
6	1	17	16	6	11	18	1
3	3	16	17	5	5	19	-1
8	1	13	16	1	2	17	1
2	3	13	12	5	5	8	1
9	2	12	12	11	13	5	1
0	3	16	17	1	11	15	1
5	1	17	17	3	13	17	1
1	1	14	14	13	11	13	-1
2	1	13	14	13	13	13	1
4	3	14	16	11	11	9	1
2	1	14	13	1	1	17	1
3	2	16	16	13	3	15	1
8	3	12	13	2	13	15	1
0	-1	12	12	3	13	15	1
1	3	12	12	2	3	14	1
3	3	13	13	3	3	10	1
0	2	12	13	2	1	7	-1
9	1	12	12	3	3	12	-1
1	3	13	17	3	3	11	1
2	3	16	20	3	10	15	1
1	3	13	13	13	3	16	1
2	3	7.5	13	3	11	11	1
4	1	12	12	3	3	11	1
3	2	16	12	11	3	11	1
1	1	16	16	2	11	15	1
7	3	9	12	11	11	12	1
24	3	16	20	1	9	13	1
6	3	12	13	2	13	7	-1
11	3	16	20	5	11	19	1
12	1	17	14	2	2	15	1
2	1	16	17	2	13	13	-1
1	1	16	16	2	2	1	1
10	1	10	12	3	3	11	1
8	3	7.5	20	9	9	15	1
3	1	13	13	1	1	13	1
0	3	16	16	3	5	18	1
2	1	12	13	11	1	12	-1
0	1	13	16	13	13	17	1
3	3	16	16	2	13	11	1
6	3	13	14	9	2	16	1
1	3	16	16	4	3	14	1
3	3	16	16	4	4	6	1
4	3	13	13	3	13	19	1
1	1	12	12	13	9	13	1
2	3	12	16	11	1	15	1
0	1	20	17	13	13	17	1
2	1	13	13	3	3	15	-1
4	1	17	16	2	3	12	1
8	3	16	17	2	2	13	1
2	3	11	12	3	13	7	1
3	1	12	9	3	3	9	1
5	1	12	12	3	3	10	1
6	3	12	13	2	11	1	1
10	3	12	16	3	2	12	1
3	3	17	17	3	3	15	1
8	3	12	12	3	13	13	1
4	1	16	17	2	2	12	1
3	1	12	17	3	3	16	1
4	1	12	13	13	5	13	1
2	3	17	17	2	2	16	1
3	3	16	20	2	13	15	1
0	2	16	13	2	2	9	-1
6	3	12	12	1	1	17	1
3	3	12	13	3	13	12	-1
3	2	17	16	2	3	17	1
3	2	14	13	11	1	6	1
6	1	12	17	2	2	10	1
3	1	16	12	2	2	16	1
9	3	17	17	3	2	19	1
1	1	13	16	1	1	7	1
2	1	16	14	11	11	13	-1
2	1	12	12	3	9	13	1
1	2	12	14	3	3	16	-1
2	3	16	13	2	3	10	1
4	1	11	12	1	1	11	1
2	3	16	16	12	5	13	-1
3	3	16	17	3	3	13	1
4	3	16	12	1	1	7	1
1	3	17	17	1	2	14	1
2	3	12	13	3	3	15	1
4	3	12	12	2	11	13	1
5	3	12	12	11	13	13	1
2	1	16	13	4	4	13	1
2	1	14	13	4	4	13	1
23	1	13	13	13	13	19	1
8	3	12	14	3	2	10	-1
6	1	12	14	11	11	18	1
0	3	13	14	11	3	17	1
6	3	16	20	1	1	18	1
0	1	17	17	2	2	11	1
1	2	12	12	1	12	11	-1
2	1	16	12	3	3	13	-1
6	1	16	13	1	9	12	1
0	1	13	14	3	3	13	-1
0	3	12	13	13	11	12	-1
5	1	14	13	2	2	7	1
0	1	17	17	2	1	15	1
5	1	13	16	13	4	14	1
0	1	14	13	3	2	16	1
3	1	17	16	2	2	18	-1
2	1	16	16	11	13	15	-1
11	1	20	16	3	5	12	-1
11	1	11	13	1	1	3	1
7	3	16	14	2	2	15	1
5	1	12	12	13	13	7	-1
7	3	12	13	11	1	11	1
13	2	14	16	2	2	12	1
2	2	13	12	11	13	11	-1
2	3	14	13	9	9	10	1
0	1	17	17	1	2	16	1
3	1	14	13	13	2	16	1
4	2	20	14	13	2	13	-1
4	2	16	16	1	11	13	-1
3	2	16	13	3	3	15	1
1	3	13	16	3	3	15	1
1	3	10	9	1	1	14	1
2	1	12	9	3	13	9	-1
7	1	12	12	3	2	10	1
3	3	10	9	12	1	7	1
2	3	14	13	3	2	11	1
7	1	12	12	1	1	8	-1
1	2	16	16	3	3	5	-1
5	3	12	12	2	2	15	1
0	3	13	12	1	13	8	-1
3	3	12	12	3	3	19	1
0	3	11	12	1	13	13	1
1	1	16	13	2	9	15	1
2	1	16	16	13	11	10	1
3	2	16	10	3	3	12	1
0	3	12	12	2	2	8	1
4	1	16	16	2	2	12	1
1	3	13	17	11	1	14	1
6	3	14	16	11	1	13	1
5	3	12	16	9	11	12	1
1	1	12	10	1	1	8	1
1	1	14	12	3	3	16	1
3	3	16	12	9	13	12	1
4	3	12	13	2	1	12	1
1	3	14	12	1	2	9	1
1	3	13	16	12	13	15	1
3	2	12	12	2	11	14	1
2	3	12	13	2	2	8	-1
7	1	13	17	3	3	13	1
4	3	17	16	2	3	1	-1
15	1	12	12	3	3	12	-1
0	2	17	13	1	6	4	1
4	1	12	12	3	3	14	1
1	3	7.5	12	13	13	10	1
0	3	13	12	1	13	13	-1
7	1	12	14	3	13	11	1
3	3	16	17	2	2	14	-1
10	3	12	12	11	13	13	-1
0	1	12	16	1	9	15	1
13	1	16	14	5	3	14	-1
6	3	13	13	3	2	13	1
8	2	12	5.5	9	1	8	1
6	1	13	12	1	9	8	1
5	1	16	16	13	13	14	1
2	3	16	16	2	3	9	1
7	3	17	20	1	3	18	-1
10	1	13	16	2	2	18	1
9	1	17	16	3	2	16	1
5	1	20	13	2	13	16	1
11	3	16	16	1	1	6	-1
1	3	12	16	1	1	14	1
6	1	13	11	13	1	15	-1
1	1	16	14	3	3	14	1
3	1	16	17	2	1	12	1
20	1	16	17	2	13	12	-1
9	1	20	17	11	11	18	-1
7	1	17	11	3	3	12	1
2	3	16	16	2	1	19	1
2	1	20	16	2	3	7	1
1	1	16	16	2	13	11	1
1	1	16	17	11	2	12	1
0	1	16	17	2	3	16	1
1	3	16	20	1	13	12	1
7	1	16	14	3	2	16	-1
1	1	12	12	1	2	15	1
1	3	20	20	13	13	15	1
6	3	12	12	2	2	12	1
2	1	13	13	13	11	11	-1
0	3	12	13	1	1	13	1
8	3	13	16	2	3	19	1
1	3	16	16	3	3	13	1
1	2	13	13	2	11	14	1
7	1	20	16	3	2	17	-1
9	1	13	13	13	3	16	1
5	1	13	10	2	3	11	1
6	1	14	12	3	3	13	1
3	2	10	7.5	13	13	11	1
11	1	13	12	11	3	12	-1
2	3	16	16	2	2	19	1
2	3	7.5	12	9	1	8	1
5	3	12	12	11	1	11	1
15	1	20	17	8	3	19	1
4	1	12	14	11	6	9	1
0	1	20	20	2	2	16	1
0	3	16	17	4	4	16	1
3	3	12	12	3	3	5	1
3	3	14	14	11	3	10	-1
3	3	13	14	11	3	7	1
1	2	16	16	11	11	16	1
1	3	13	16	2	2	16	1
3	3	9	12	3	13	10	1
0	2	12	12	3	2	10	-1
0	1	16	17	13	13	17	1
1	1	17	16	2	3	18	1
13	3	20	20	9	2	8	1
4	1	14	13	11	11	12	1
3	1	13	12	11	11	16	1
2	1	12	10	12	13	7	-1
3	3	17	17	4	4	15	1
1	1	13	12	3	3	10	1
5	1	12	12	2	1	6	1
2	1	12	12	11	13	9	1
24	1	12	12	3	3	13	-1
0	3	16	17	3	2	14	-1
5	2	13	14	11	1	7	-1
6	3	14	12	3	3	12	1
1	3	12	12	3	3	13	1
11	3	13	16	3	2	10	-1
14	2	12	13	3	3	14	1
12	2	16	17	3	5	16	1
10	3	13	9	13	12	12	1
2	3	16	16	11	13	19	1
4	3	13	14	2	3	11	1
5	3	12	12	3	13	1	1
1	1	14	16	1	1	11	1
5	3	12	12	2	11	14	-1
17	2	16	16	3	1	13	1
8	3	16	16	12	2	11	-1
1	1	12	12	13	13	16	-1
2	3	12	12	3	3	10	1
1	1	13	10	3	3	8	-1
6	3	5.5	14	3	3	11	1
21	1	16	17	13	1	18	-1
1	1	16	16	1	1	11	1
2	1	20	20	5	2	19	1
4	3	14	13	2	2	13	-1
4	1	16	16	13	2	9	-1
3	1	13	12	2	1	19	1
7	3	11	13	11	11	7	-1
6	3	12	16	13	2	14	1
6	3	13	13	3	3	15	1
1	1	17	16	2	2	12	1
10	1	16	17	3	3	17	1
3	3	16	16	2	2	11	1
3	2	12	12	11	1	10	1
4	1	12	13	3	12	7	-1
11	3	12	12	3	12	11	1
3	3	12	13	13	13	13	1
1	1	14	12	3	3	11	-1
1	1	13	13	11	11	12	-1
4	1	13	13	11	11	14	1
1	3	14	13	1	1	11	1
9	2	13	12	3	13	11	-1
2	3	13	13	9	9	12	1
2	1	16	16	3	2	17	1
14	3	13	13	4	13	7	1
11	1	13	14	3	3	16	-1
3	3	14	17	2	3	16	1
3	1	17	16	7	7	19	1
2	3	17	17	13	3	16	-1
10	1	14	13	3	2	11	-1
1	3	16	16	11	11	16	1
7	3	14	14	11	13	11	-1
28	1	13	16	13	13	10	-1
4	3	13	16	1	3	14	1
6	3	13	13	11	11	14	1
0	3	20	20	1	2	15	1
6	1	16	16	5	13	16	-1
9	1	17	16	2	2	13	1
8	3	13	14	11	1	14	-1
0	2	12	13	3	3	9	1
0	3	13	13	11	2	19	1
3	3	16	16	2	1	14	1
3	3	14	14	4	4	13	1
4	1	16	16	3	13	14	1
3	1	14	13	3	1	12	1
3	3	12	12	1	1	12	1
6	3	17	13	10	2	17	1
7	3	17	17	13	5	17	1
0	3	12	13	3	3	4	-1
8	3	13	13	3	3	13	1
5	2	13	12	9	13	6	-1
9	3	11	9	3	3	7	1
1	2	12	13	3	12	11	-1
6	1	13	13	1	5	10	-1
3	3	17	17	3	3	19	1
2	3	12	20	3	3	12	-1
15	1	16	13	1	3	15	1
16	1	13	12	3	13	17	1
3	1	16	13	4	4	13	1
1	1	10	11	1	1	6	1
16	3	13	16	3	3	7	1
8	2	13	13	3	3	11	-1
2	1	12	12	3	3	11	1
5	2	10	12	3	-1	7	-1
0	2	16	12	1	1	10	-1
6	1	13	13	3	1	7	1
9	1	16	16	2	2	17	1
4	1	17	12	3	11	18	1
7	3	13	20	10	10	9	1
2	1	20	17	2	3	17	1
2	2	17	17	1	1	13	1
4	1	7.5	14	3	3	13	1
1	1	16	13	3	3	17	-1
1	1	11	12	9	2	9	1
3	3	17	16	3	2	15	1
1	3	16	13	3	3	10	-1
1	3	16	16	2	3	16	1
1	3	13	16	2	2	9	1
1	3	16	17	12	11	8	-1
5	3	14	20	2	1	16	1
4	1	20	16	2	2	18	1
3	3	12	12	11	3	14	1
0	1	16	17	3	3	16	1
0	1	16	12	3	2	14	1
0	1	13	12	3	3	12	1
7	3	12	13	1	1	8	-1
10	3	17	16	13	13	13	1
2	3	12	17	3	3	12	1
5	1	16	12	1	1	13	1
0	3	12	12	3	3	12	1
7	3	12	12	1	1	12	1
13	2	13	13	11	12	8	1
19	2	14	14	3	5	16	1
13	1	12	12	13	1	12	1
1	1	13	13	2	2	16	-1
1	3	14	16	9	9	13	1
12	2	13	13	2	11	10	1
1	1	17	16	11	11	15	1
1	3	12	12	2	2	11	1
2	1	16	14	1	3	11	1
11	1	16	12	3	3	15	1
2	1	12	14	2	2	13	1
1	3	16	16	3	13	13	-1
5	3	13	14	2	3	10	-1
4	1	13	12	3	1	9	1
30	3	13	17	3	5	9	1
7	2	12	14	2	2	13	1
1	2	16	16	13	13	9	1
6	1	14	12	3	3	14	-1
6	1	14	12	3	4	12	1
2	3	12	16	1	2	14	1
0	1	14	11	3	13	15	-1
3	3	9	13	3	11	8	-1
3	1	12	12	2	2	10	-1
3	2	16	16	3	3	17	1
24	2	13	12	13	13	4	-1
0	3	16	16	11	13	18	1
1	2	12	13	3	3	10	1
5	3	12	12	3	11	11	1
0	1	13	16	2	11	11	1
3	2	12	12	3	3	5	-1
0	1	13	12	1	1	11	1
