103	CORESIDENT	1.7192338142008097
137	Q25	-0.39670780935179556
28	PPMARIT_5	-1.0267598268775695
126	PARENTAL_APPROVAL	1.1128584093078935
26	PPMARIT_3	-1.3999939783995643
43	PPRENT_2	-0.25794356479242525
94	Q21B	-0.16411710231708959
122	Q32_INTERNET	-0.21820304582990882
134	EITHER_INTERNET_ADJUSTED	-0.23916537555483519
113	Q24_MET_ONLINE	-0.05963988331283962
93	Q21A	0.15694316474170319
91	PPHOUSE	0.022531646799932695
71	RESPONDENT_RACE_2	-1.1506263097447591
82	GENDER_ATTRACTION	-0.31547866478024988
117	Q31_4	0.5199715262215775
19	PARTNER_RACE_2	0.15946279110941741
32	PPPARTYID3_3	-0.054558506293238086
141	Q7A	-0.22660914078895578
104	GLBSTATUS	0.17612281224953974
77	PAPGLB_STATUS_1	0.24144641300495481
