SAME_SEX_COUPLE	US_RAISED	ZPRURAL_CAT	CORESIDENT	GLBSTATUS	MARRIED	MET_THROUGH_AS_COWORKERS	MET_THROUGH_AS_NEIGHBORS	MET_THROUGH_FAMILY	MET_THROUGH_FRIENDS	PPHHHEAD	Q24_MET_ONLINE	Q31_1	Q31_2	Q31_3	Q31_4	Q31_5	Q31_6	Q31_7	Q31_8	Q32_INTERNET	PPMSACAT	PPNET	PARTNER_YRSED	Q9	RELATIONSHIP_QUALITY	RESPONDENT_MOM_YRSED	RESPONDENT_YRSED	ZPFORBORN_CAT	ZPNHBLACK_CAT	ZPNHWHITE_CAT	AGE_DIFFERENCE	CHILDREN_IN_HH	DISTANCEMOVED_10MI	GENDER_ATTRACTION	HHINC	HOW_LONG_AGO_FIRST_COHAB	HOW_LONG_AGO_FIRST_MET	HOW_LONG_AGO_FIRST_ROMANTIC	HOW_LONG_RELATIONSHIP	PARTNER_MOM_YRSED	PARTNER_YRSED	PPAGECAT	PPHOUSE	PPHOUSEHOLDSIZE	Q21A	Q21B	Q21C
0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	1	13	38	4	12	13	2	2	2	10	0	970	2	8750	-6	1	1	.75	12	13	4	3	1	47	47	-6
1	1	0	1	1	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	16	48	4	12	17	2	0	2	6	0	0	5	112250	19	20	20	20	16	16	4	2	2	34	34	35
0	1	-6	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	12	31	4	12	14	-6	-6	-6	0	1	30	1	67250	6	6	6	6	12	12	2	1	9	25	25	25
0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	1	0	13	51	4	10	13	2	1	3	0	1	0	1	27250	6	37	11	11	12	13	4	1	2	14	40	45
0	1	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	1	0	17	60	1	13	12	0	0	3	0	0	0	1	22250	29	39	29	29	12	17	5	1	1	21	31	31
0	1	0	1	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	16	45	4	14	13	2	2	2	10	0	0	1	80000	15	17	16	16	13	16	3	2	2	18	19	20
0	1	0	1	1	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	1	17	59	4	12	17	1	3	0	14	0	50	2	112250	25	27	26	26	12	17	6	1	2	46	47	48
0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	1	1	16	29	5	16	16	2	1	1	1	0	50	1	67250	-6	3	3	2.5	13	16	2	3	2	25	25	-6
0	1	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	1	20	44	5	12	16	1	2	2	1	1	110	1	67250	21	23	23	23	12	20	3	1	3	20	20	22
1	1	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	13	58	5	0	16	2	0	3	18	0	950	5	67250	35	35	35	35	7.5	13	7	1	2	41	41	41
0	1	0	1	0	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	1	14	56	4	16	16	3	1	1	13	0	2420	2	80000	8	15	14	14	16	14	3	3	2	28	29	35
0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	13	19	5	12	13	0	0	3	0	0	0	1	67250	-6	0	0	.44999998808	12	13	1	1	4	19	19	-6
0	1	0	1	0	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	1	20	59	5	12	16	2	2	2	2	0	20	1	112250	37	43	40	40	16	20	5	1	2	18	21	24
0	1	0	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	16	33	4	13	17	2	1	2	0	0	10	1	80000	10	12	11	11	12	16	2	1	5	21	22	23
0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	1	1	13	52	5	16	16	2	1	3	2	0	500	3	162250	-6	4	4	4	12	13	4	1	1	50	50	-6
1	1	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	1	1	16	50	5	10	16	1	1	2	6	0	500	5	17250	-6	3	3	4	17	16	5	1	1	53	53	-6
0	1	0	0	0	0	-6	-6	-6	-6	1	-6	0	0	0	0	0	0	0	0	0	1	0	13	99	4	16	16	2	0	3	70	0	-6	1	37250	-6	9	9	9	20	13	2	1	9	20	20	-6
0	1	0	1	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	20	52	5	17	20	1	2	2	2	0	1060	1	80000	24	27	27	27	13	20	4	1	2	23	23	26
1	1	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	1	17	26	4	14	17	1	1	2	5	0	100	4	67250	4	7	4	4	12	17	2	1	2	24	27	27
1	1	0	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	1	16	64	5	10	13	3	1	1	0	0	2570	4	112250	28	30	30	30	13	16	5	1	2	34	34	36
0	1	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	16	26	4	14	13	1	0	3	3	0	10	1	112250	1	5	5	5	16	16	1	1	4	18	18	22
0	1	0	1	0	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	1	17	29	5	16	16	1	1	2	2	0	230	1	67250	3	6	5	5	12	17	2	1	2	21	22	24
1	1	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	13	38	4	12	13	3	2	2	9	0	2150	3	92250	6	11	11	11	13	13	4	3	1	36	36	41
0	1	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	1	12	30	5	13	13	1	0	3	3	0	0	1	55000	7	7	7	7	10	12	2	3	4	20	20	20
0	1	0	1	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	1	16	-6	4	14	16	1	0	3	-6	0	1000	2	80000	13	16	14	14	14	16	3	1	4	24	26	27
0	1	0	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	1	12	27	5	12	12	1	2	1	10	2	120	4	13750	8	8	8	8	10	12	3	4	4	29	29	29
0	1	0	1	0	1	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	1	1	17	58	5	12	12	2	2	1	13	0	730	2	137250	21	21	21	21	13	17	4	1	3	24	24	24
0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	20	53	4	16	16	3	2	0	2	0	20	1	55000	-6	18	7	7	17	20	4	3	1	33	44	-6
0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	12	34	3	17	16	3	2	0	0	0	1700	1	32250	5	6	6	6	12	12	2	1	2	28	28	29
0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	16	34	5	7.5	14	2	0	3	11	0	4870	1	200000	5	7	6	6	12	16	1	1	5	16	17	18
0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	1	16	45	5	12	12	3	2	0	1	0	250	1	162250	2	3	3	2.5	13	16	3	1	1	41	41	42
0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	16	32	5	14	16	2	2	1	6	0	0	1	162250	1	1	1	2.5	16	16	2	1	2	25	25	25
0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	12	54	5	7.5	16	3	0	2	2	1	1080	1	67250	33	36	36	36	7.5	12	4	1	2	16	16	19
0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	1	1	13	24	5	17	13	3	2	1	3	0	0	2	55000	-6	2	2	2.5	12	13	2	1	3	25	25	-6
0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	1	1	14	50	5	17	14	2	2	2	4	0	2000	1	80000	-6	0	0	.75	13	14	4	1	4	46	46	-6
1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	20	80	5	10	13	1	2	2	7	0	750	5	55000	17	18	18	18	16	20	6	2	2	55	55	56
0	1	-6	1	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	13	51	5	10	12	-6	-6	-6	0	3	490	1	92250	31	32	31	31	12	13	4	1	5	19	20	20
0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	20	33	5	12	20	2	1	3	21	0	40	1	45000	-6	17	17	17	12	20	4	2	4	37	37	-6
0	1	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	13	58	5	7.5	13	2	2	2	3	1	0	1	80000	40	41	41	41	12	13	5	1	3	20	20	21
0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	13	26	3	17	12	1	1	3	2	0	0	1	92250	0	1	0	.75	16	13	1	1	3	23	24	24
0	1	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	1	16	44	5	12	17	3	3	0	3	0	2560	1	200000	6	8	8	8	13	16	3	1	2	33	33	35
0	1	1	1	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	16	61	5	13	13	1	2	2	5	0	40	1	22250	35	35	35	35	9	16	5	1	2	21	21	21
1	1	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	1	16	62	5	14	14	0	2	1	14	0	740	5	55000	8	8	8	8	12	16	4	1	2	40	40	40
0	1	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	1	14	52	4	13	13	1	0	3	10	1	0	1	67250	10	11	11	11	7.5	14	3	1	4	31	31	32
0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	1	16	29	5	14	14	2	1	1	3	0	10	1	112250	7	8	8	8	16	16	2	1	3	18	18	19
0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	13	70	5	12	12	1	0	2	1	0	0	2	27250	-6	52	51	51	12	13	6	3	1	19	20	-6
0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	13	20	5	17	12	3	3	0	1	0	0	1	22250	-6	0	0	.15000000596	17	13	1	1	4	19	19	-6
0	1	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	16	31	5	12	16	2	1	1	7	0	110	1	112250	9	10	10	10	13	16	3	2	2	28	28	29
0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	16	59	5	16	13	3	1	1	35	0	0	1	6250	5	6	5	5	12	16	1	3	2	18	19	19
1	1	0	1	1	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	1	14	51	5	5.5	13	1	2	1	13	0	1100	5	55000	21	24	21	21	10	14	5	1	2	40	43	43
0	1	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	16	36	4	16	14	3	3	0	3	0	0	1	55000	2	3	3	.44999998808	16	16	3	1	2	36	36	37
0	1	0	1	0	1	-6	-6	-6	-6	1	-6	0	1	0	0	0	0	0	0	0	1	1	14	29	5	14	16	2	1	3	0	0	10	1	112250	8	14	13	13	16	14	2	1	4	15	16	21
0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	12	66	4	12	12	3	2	0	1	0	1190	1	27250	47	49	49	49	12	12	6	1	3	18	18	20
1	1	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	1	12	41	4	17	16	1	1	3	3	0	10	5	137250	14	14	14	14	12	12	3	1	2	24	24	24
0	1	0	1	0	1	-6	-6	-6	-6	1	-6	1	0	0	0	0	0	0	0	0	1	1	13	44	4	12	12	1	1	3	2	0	-6	1	137250	22	22	22	22	12	13	4	1	2	24	24	24
1	1	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	17	51	5	12	16	3	2	0	10	0	0	5	27250	16	17	17	17	7.5	17	3	3	1	24	24	25
0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	17	25	4	16	16	1	0	3	15	0	0	1	13750	-6	1	1	1.5	16	17	3	2	1	39	39	-6
0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	16	49	5	12	14	3	2	1	2	0	140	1	162250	10	11	11	11	13	16	4	1	2	40	40	41
0	1	0	1	0	1	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	1	17	40	5	16	16	2	1	2	1	2	0	1	92250	17	23	22	22	13	17	3	1	4	18	19	24
0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	13	20	5	12	13	3	2	0	1	0	830	1	55000	-6	2	2	1.5	13	13	1	1	2	19	19	-6
0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	12	54	4	12	12	2	1	2	0	0	0	1	13750	34	37	36	36	0	12	4	3	2	17	18	20
0	1	1	1	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	1	12	33	4	14	12	0	0	2	1	3	0	1	37250	11	11	11	11	12	12	2	1	5	23	23	23
1	1	0	1	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	17	47	4	12	13	1	0	2	1	0	730	5	92250	17	23	17	17	7.5	17	4	1	2	25	31	31
0	1	0	1	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	1	17	27	5	16	17	3	2	0	1	0	1680	1	17250	6	7	7	7	13	17	2	1	2	19	19	20
0	1	0	1	1	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	1	17	75	5	12	17	3	2	1	12	0	20	3	92250	35	36	36	36	16	17	5	2	2	27	27	28
1	1	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	1	1	16	54	3	12	14	1	2	2	2	0	0	5	45000	-6	2	2	2.5	7.5	16	5	1	2	54	54	-6
0	1	0	1	0	1	0	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	13	58	4	12	12	1	0	3	2	0	20	1	80000	38	40	39	39	16	13	5	1	2	16	17	18
0	1	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	12	37	5	13	12	3	0	0	5	2	0	1	67250	19	20	20	20	13	12	3	3	5	22	22	23
0	1	0	1	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	14	54	5	12	12	1	2	1	0	0	740	1	67250	32	37	35	35	7.5	14	4	1	2	17	19	22
0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	12	29	3	12	12	1	1	3	5	0	0	2	112250	13	14	13	13	12	12	2	1	4	20	21	21
0	1	0	1	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	20	62	5	12	12	2	1	2	5	0	350	1	112250	40	40	40	40	12	20	5	1	4	17	17	17
0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	14	53	4	12	12	0	3	0	3	3	0	1	17250	-6	1	0	.75	13	14	4	1	4	49	50	-6
0	1	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	16	64	5	12	12	0	3	0	5	0	2300	1	55000	32	32	32	32	13	16	5	4	2	27	27	27
0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	12	31	3	12	13	1	3	1	5	2	0	2	13750	-6	2	2	1.5	13	12	3	3	3	34	34	-6
1	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	1	16	43	5	12	17	2	0	2	1	0	2380	5	92250	-6	0	0	.44999998808	16	16	3	1	3	42	42	-6
0	1	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	1	16	36	5	16	16	2	2	2	5	0	100	1	55000	10	11	11	11	16	16	3	1	2	30	30	31
0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	13	20	5	13	13	1	3	1	2	3	0	1	45000	-6	1	1	.75	12	13	1	1	5	21	21	-6
0	1	0	1	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	1	1	17	28	5	16	16	1	2	2	0	0	1210	1	80000	4	7	5	5	16	17	2	2	2	21	23	24
0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	12	39	4	12	12	0	0	3	3	2	0	1	22250	21	22	22	22	12	12	3	1	4	20	20	21
1	1	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	17	74	5	12	13	1	2	2	23	0	2000	5	55000	15	31	30	30	12	17	4	1	2	20	21	36
1	1	0	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	17	42	5	17	20	3	2	1	4	0	2600	3	200000	4	5	5	5	16	17	3	2	2	33	33	34
0	1	0	1	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	1	0	13	67	4	12	12	2	2	1	1	0	950	1	162250	15	17	16	16	12	13	6	1	2	49	50	51
0	1	0	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	16	28	4	16	16	1	1	3	1	2	80	1	55000	6	8	8	8	16	16	2	1	5	19	19	21
0	1	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	12	50	5	7.5	12	2	1	2	6	1	740	1	112250	19	20	20	20	10	12	3	1	6	24	24	25
0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	11	18	4	2.5	11	0	0	3	1	1	20	1	13750	-6	4	1	.05000000075	12	11	1	1	4	15	18	-6
1	1	0	1	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	1	1	13	38	5	7.5	13	3	3	0	7	0	0	5	162250	6	6	6	6	13	13	4	2	2	39	39	39
0	1	0	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	13	56	5	12	17	0	1	3	0	0	140	3	92250	38	42	41	41	13	13	5	1	2	14	15	18
0	1	1	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	13	40	4	12	12	0	2	3	3	0	0	1	55000	22	23	23	23	12	13	3	1	4	20	20	21
1	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	16	43	4	12	17	1	2	2	4	0	180	5	80000	-6	22	22	22	12	16	4	1	1	25	25	-6
0	1	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	1	16	42	4	16	17	2	2	2	2	2	170	1	162250	21	23	23	23	16	16	3	1	4	21	21	23
1	1	0	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	1	1	17	47	5	13	16	2	2	2	7	2	300	4	112250	11	13	13	13	16	17	4	1	4	41	41	43
1	1	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	17	57	4	12	17	3	2	1	9	0	20	4	92250	-6	10	10	10	14	17	4	1	2	38	38	-6
0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	13	23	5	13	13	3	2	0	0	0	20	1	92250	3	5	5	5	14	13	1	1	4	18	18	20
1	1	0	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	1	17	61	5	13	17	3	2	1	8	0	580	5	137250	19	20	20	20	16	17	6	1	2	49	49	50
0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	13	50	4	12	17	1	1	2	4	1	1010	1	92250	15	15	15	15	16	13	4	1	3	31	31	31
0	1	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	2.5	72	5	5.5	7.5	0	2	3	13	0	0	1	17250	18	23	22	22	0	2.5	5	1	2	36	37	41
1	1	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	13	59	4	14	13	3	1	1	3	0	80	5	80000	18	21	21	21	12	13	5	3	2	35	35	38
0	1	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	12	35	5	5.5	16	2	0	1	1	3	660	1	27250	18	21	20	20	12	12	3	1	6	15	16	18
0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	16	24	4	13	13	0	3	0	2	0	0	1	13750	-6	0	0	.05000000075	20	16	1	1	5	22	22	-6
