PAPGLB_FRIEND	PAPRELIGION	PARTNER_RACE	PPMARIT	PPPARTYID3	PPREG9	PPRENT	Q12	Q29	Q7B	RESPONDENT_RACE	PAPGLB_STATUS	AGE_DIFFERENCE	CHILDREN_IN_HH	DISTANCEMOVED_10MI	GENDER_ATTRACTION	HHINC	HOW_LONG_AGO_FIRST_COHAB	HOW_LONG_AGO_FIRST_MET	HOW_LONG_AGO_FIRST_ROMANTIC	HOW_LONG_RELATIONSHIP	PARTNER_MOM_YRSED	PARTNER_YRSED	PPAGECAT	PPHOUSE	PPHOUSEHOLDSIZE	Q21A	Q21B	Q21C	Q9	RELATIONSHIP_QUALITY	RESPONDENT_MOM_YRSED	RESPONDENT_YRSED	ZPFORBORN_CAT	ZPNHBLACK_CAT	ZPNHWHITE_CAT	CORESIDENT	GLBSTATUS	MARRIED	MET_THROUGH_AS_COWORKERS	MET_THROUGH_AS_NEIGHBORS	MET_THROUGH_FAMILY	MET_THROUGH_FRIENDS	PPHHHEAD	PPMSACAT	PPNET	Q24_MET_ONLINE	Q31_1	Q31_2	Q31_3	Q31_4	Q31_5	Q31_6	Q31_7	Q31_8	Q32_INTERNET	SAME_SEX_COUPLE	US_RAISED	ZPRURAL_CAT	PARENTAL_APPROVAL	Q33_1	Q33_2	Q33_3	Q33_4	Q33_5	Q33_6	Q33_7	EITHER_INTERNET_ADJUSTED	PAPEVANGELICAL	Q13A	Q25	Q26	Q27	Q28	Q7A	Q8A	SUCCESS
4	3	1	1	1	5	1	1	4	2	6	2	0	0	940	1	137250	29	30	29	29	12	13	5	1	4	26	27	27	56	5	14	14	2	2	1	1	0	1	1	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	nan	0	0	1	0	0	0	0	0	1	0	1	1	1	1	1	0	1
1	2	1	5	1	4	1	5	1	2	1	2	3	0	10	1	162250	2	5	5	5	14	16	2	1	3	20	20	23	22	3	16	17	3	2	2	1	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	1	1	0	-1
1	13	1	3	1	7	1	3	4	13	1	2	2	0	0	1	37250	29	30	30	30	12	16	5	1	1	25	25	26	57	4	7.5	16	3	1	0	1	0	1	0	1	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	nan	0	0	0	1	0	0	0	0	1	1	1	0	1	1	1	0	-1
3	3	1	5	3	3	1	2	1	5	1	2	11	0	60	1	45000	nan	2	2	1.5	16	16	3	3	1	35	35	nan	48	4	13	20	2	2	2	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	1	1	0	1	1	1	1	1	0	-1
4	1	1	1	3	6	1	2	3	1	1	2	11	0	140	1	22250	25	26	25	25	12	13	4	1	2	28	29	29	43	5	7.5	10	0	2	2	1	0	1	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	1	nan	1	1	0	0	1
3	2	1	1	3	5	1	2	1	2	1	2	7	0	10	1	80000	9	10	10	10	16	14	2	1	4	18	18	19	35	4	16	16	1	2	2	1	0	1	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1
1	13	1	5	3	9	2	2	3	13	1	1	5	0	0	2	17250	nan	1	1	.15000000596	12	12	2	1	1	32	32	nan	28	5	12	12	1	0	2	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	1	nan	1	1	1	0	-1
2	11	1	1	3	9	1	5	3	1	1	2	7	0	50	1	37250	26	26	26	26	12	13	5	4	3	29	29	29	48	5	11	12	2	1	1	1	0	1	0	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	1	nan	1	1	1	0	1
3	2	1	6	1	4	1	1	4	2	1	1	13	0	470	2	80000	8	11	11	11	12	16	6	1	2	56	56	59	54	5	13	14	0	0	3	1	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	nan	0	1	0	0	0	0	0	0	1	0	1	1	1	1	0	0	1
1	11	2	5	3	5	2	5	3	13	2	2	2	3	560	1	37250	nan	1	0	.15000000596	12	12	3	2	4	35	36	nan	34	3	13	13	2	3	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	nan	1	1	1	0	-1
