PPGENDER	PPAGE	PPINCIMP	HOW_LONG_AGO_FIRST_ROMANTIC	SAME_SEX_COUPLE	Q23	Q19	PPEDUC	Q18A_3	MET_THROUGH_FRIENDS	MET_THROUGH_FAMILY	MET_THROUGH_AS_NEIGHBORS	MET_THROUGH_AS_COWORKERS	Q24_CHURCH	Q24_SCHOOL	Q24_COLLEGE	Q31_1	Q31_2	Q31_3	Q31_4	Q31_5	Q31_6	Q31_7	Q31_8	Q31_9	Q31_OTHER_TEXT_ENTERED	SUCCESS
2	45	18	6	1	1	1	10	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
1	56	15	41	0	1	1	13	nan	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
1	43	12	23	0	1	1	9	nan	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
1	47	14	22	1	1	2	13	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	-1
1	44	18	23	0	1	1	13	nan	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1
2	54	16	13	1	2	1	12	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
2	48	15	10	1	3	2	13	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	-1
2	23	15	5	0	3	1	10	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	-1
1	69	17	20	1	2	1	13	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
1	46	15	15	0	1	1	13	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
2	59	6	22	0	3	1	4	nan	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
1	56	14	21	1	3	1	10	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
1	36	8	20	0	1	1	12	nan	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1
2	22	5	0	0	3	2	10	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1
2	62	14	32	1	1	2	13	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1
2	61	18	14	1	3	1	12	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
2	43	12	15	0	2	1	13	nan	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1
1	65	8	31	0	2	1	9	nan	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1
1	53	17	24	1	1	1	13	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
1	39	8	16	0	2	1	10	nan	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
2	41	11	0	1	3	2	12	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	-1
1	69	7	43	0	1	1	14	nan	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1
2	42	12	2	1	1	1	9	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	-1
1	55	12	14	1	3	1	13	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
2	49	9	1	0	2	1	11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
1	66	13	5	0	1	1	11	nan	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
2	48	2	13	0	3	1	6	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	-1
2	53	11	23	0	3	1	6	nan	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1
1	28	19	5	0	1	1	12	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
2	33	7	14	0	3	1	10	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
1	53	9	30	0	1	1	11	nan	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1
1	85	19	50	0	2	1	12	nan	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1
1	28	13	1	1	1	1	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	-1
1	55	14	37	0	1	1	14	nan	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
2	25	15	7	0	3	1	11	nan	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	-1
2	19	8	2	0	3	1	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
1	56	18	12	0	1	1	12	nan	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1
2	42	11	0	0	1	2	10	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	-1
2	46	16	31	0	3	1	14	nan	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	1
2	27	12	1	0	2	1	12	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	-1
2	37	6	3	1	3	2	11	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	-1
2	63	10	31	0	1	1	9	nan	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
1	42	15	16	0	1	1	12	nan	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
2	48	12	26	0	3	1	9	nan	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1
1	34	13	14	0	1	1	10	nan	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
2	55	13	26	0	3	1	8	nan	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
1	49	18	30	1	2	1	10	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
2	20	18	6	0	1	2	10	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	-1
1	58	14	38	0	1	1	9	nan	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
2	54	13	34	1	1	1	10	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1
2	39	16	4	0	3	1	10	nan	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	-1
2	59	19	19	1	1	1	14	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
1	42	14	26	0	1	1	14	nan	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1
2	39	15	9	1	1	1	13	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1
2	49	15	10	0	1	2	13	nan	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	-1
2	71	12	17	1	2	1	12	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
2	45	9	5	0	3	1	10	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
1	40	7	1	0	1	2	12	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	-1
2	33	16	15	1	1	1	12	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1
1	28	18	11	0	2	1	11	nan	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1
2	32	6	13	0	3	1	9	nan	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1
2	51	8	6	0	3	1	9	nan	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
1	59	1	8	1	3	2	12	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
1	49	15	34	0	2	1	9	nan	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1
2	76	6	61	0	3	1	8	nan	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
2	47	13	28	0	3	1	6	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
2	61	9	46	0	3	1	6	nan	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
1	71	6	43	0	2	2	10	nan	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	-1
1	39	16	11	0	1	1	14	nan	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1
2	48	12	8	1	2	1	11	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
2	22	11	2	0	3	1	10	nan	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
2	29	7	4	0	3	1	13	nan	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	-1
1	28	9	9	0	1	1	11	nan	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1
1	49	15	23	0	1	1	12	nan	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1
2	54	14	11	0	3	1	8	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
1	73	11	54	0	1	1	9	nan	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1
1	54	6	28	0	1	1	9	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
2	31	6	0	0	1	2	10	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	-1
2	34	16	12	0	3	1	12	nan	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1
1	59	13	43	0	3	1	9	nan	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
1	29	7	11	0	3	1	12	nan	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1
1	36	10	15	0	1	1	9	nan	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1
1	56	13	16	0	1	1	9	nan	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	-1
2	78	9	1	0	3	2	10	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1
1	67	3	1	0	1	2	8	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	-1
2	28	10	2	0	3	1	10	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	-1
2	60	19	27	1	2	1	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
2	72	6	51	0	3	1	4	nan	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
1	28	12	1	0	3	2	11	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1
1	48	4	8	0	3	1	9	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
2	38	12	22	0	3	1	12	nan	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1
2	82	11	65	0	2	1	9	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
2	30	15	8	0	3	1	13	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1
1	41	15	19	0	1	1	12	nan	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1
2	27	12	6	0	1	1	12	nan	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1
1	34	13	19	0	1	1	11	nan	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1
1	30	12	2	0	1	1	12	nan	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
2	32	12	6	1	1	1	10	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	-1
2	29	12	10	0	3	1	10	nan	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1
1	44	17	15	1	3	1	12	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
1	36	14	19	0	1	1	10	nan	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1
1	45	13	12	1	1	1	12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	-1
1	38	13	7	1	1	1	13	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	-1
2	22	13	1	0	2	2	10	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	-1
1	39	16	19	0	1	1	10	nan	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	-1
2	26	11	8	0	1	1	12	nan	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1
2	42	3	3	0	3	1	8	nan	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
1	43	16	9	0	1	2	12	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	-1
2	44	10	12	1	3	2	14	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	-1
1	58	13	34	0	3	1	12	nan	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1
2	29	9	7	0	1	1	12	nan	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
1	77	10	2	0	1	2	6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-1
2	21	14	3	0	3	2	10	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1
2	29	11	2	0	1	2	12	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
2	27	11	2	0	2	1	12	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
1	30	17	7	1	3	1	11	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1
2	72	11	55	0	3	1	9	nan	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1
2	51	12	1	1	3	1	12	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	-1
1	39	13	17	0	1	1	11	nan	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1
2	38	14	4	0	3	1	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
1	35	12	12	0	1	1	9	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
2	28	14	7	0	3	1	10	nan	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	-1
2	58	12	35	0	1	1	8	nan	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
1	40	17	20	0	3	1	12	nan	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	-1
