PAPGLB_FRIEND	PAPRELIGION	PARTNER_RACE	PPMARIT	PPPARTYID3	PPREG9	PPRENT	Q12	Q29	Q7B	RESPONDENT_RACE	PAPGLB_STATUS	AGE_DIFFERENCE	CHILDREN_IN_HH	DISTANCEMOVED_10MI	GENDER_ATTRACTION	HHINC	HOW_LONG_AGO_FIRST_COHAB	HOW_LONG_AGO_FIRST_MET	HOW_LONG_AGO_FIRST_ROMANTIC	HOW_LONG_RELATIONSHIP	PARTNER_MOM_YRSED	PARTNER_YRSED	PPAGECAT	PPHOUSE	PPHOUSEHOLDSIZE	Q21A	Q21B	Q21C	Q9	RELATIONSHIP_QUALITY	RESPONDENT_MOM_YRSED	RESPONDENT_YRSED	ZPFORBORN_CAT	ZPNHBLACK_CAT	ZPNHWHITE_CAT	CORESIDENT	GLBSTATUS	MARRIED	MET_THROUGH_AS_COWORKERS	MET_THROUGH_AS_NEIGHBORS	MET_THROUGH_FAMILY	MET_THROUGH_FRIENDS	PPHHHEAD	PPMSACAT	PPNET	Q24_MET_ONLINE	Q31_1	Q31_2	Q31_3	Q31_4	Q31_5	Q31_6	Q31_7	Q31_8	Q32_INTERNET	SAME_SEX_COUPLE	US_RAISED	ZPRURAL_CAT	PARENTAL_APPROVAL	Q33_1	Q33_2	Q33_3	Q33_4	Q33_5	Q33_6	Q33_7	EITHER_INTERNET_ADJUSTED	PAPEVANGELICAL	Q13A	Q25	Q26	Q27	Q28	Q7A	Q8A
3	2	nan	3	3	3	1	nan	nan	nan	6	3	nan	2	nan	nan	80000	nan	nan	nan	nan	nan	nan	4	1	4	nan	nan	nan	nan	nan	nan	13	2	3	1	nan	1	0	nan	nan	nan	nan	1	1	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	nan	nan	nan	nan	nan	nan	nan	nan	0	0	nan	nan	nan	nan	nan	nan	nan
3	2	1	3	3	8	1	2	3	2	1	1	19	0	1750	2	2500	nan	10	8	8	12	17	5	1	1	49	51	nan	78	5	12	16	nan	nan	nan	0	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	nan	1	0	1	0	0	0	0	0	0	1	0	1	1	1	1	1	0
3	13	1	1	1	1	1	1	1	13	1	2	1	0	10	1	92250	28	34	34	34	9	12	4	1	4	15	15	21	50	5	12	12	0	0	3	1	0	1	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	1	0	0	0	0	0	0	1	1	0	nan	0	0	1	1
1	2	1	1	3	8	1	2	4	13	1	2	5	0	20	1	17250	60	61	61	61	11	13	7	1	2	15	15	16	81	5	7.5	12	2	1	2	1	0	1	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	nan	0	1	0	0	0	0	0	0	0	0	1	nan	1	1	1	0
3	1	1	5	3	2	1	2	1	3	2	1	1	0	410	4	27250	3	6	4	4	13	13	3	2	4	30	32	33	37	5	13	13	1	3	1	1	1	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	1	1	1	1	1	0
3	13	nan	5	3	4	1	nan	nan	nan	1	1	nan	0	nan	nan	27250	nan	nan	nan	nan	nan	nan	5	3	1	nan	nan	nan	nan	nan	nan	14	2	2	2	nan	1	0	nan	nan	nan	nan	1	1	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	nan	nan	nan	nan	nan	nan	nan	nan	0	1	nan	nan	nan	nan	nan	nan	nan
4	13	nan	3	3	9	1	nan	nan	nan	1	2	nan	0	nan	nan	13750	nan	nan	nan	nan	nan	nan	6	1	1	nan	nan	nan	nan	nan	nan	13	1	0	3	nan	0	0	nan	nan	nan	nan	1	1	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1	nan	nan	nan	nan	nan	nan	nan	nan	0	1	nan	nan	nan	nan	nan	nan	nan
2	3	2	1	3	5	1	2	4	13	6	2	8	0	100	1	67250	28	28	28	28	12	12	4	2	5	19	19	19	55	1	12	10	2	2	1	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	nan	0	1	0	0	0	0	0	0	1	0	1	nan	1	1	1	0
4	1	1	1	1	5	1	1	4	1	1	2	4	0	430	1	32250	44	47	46	46	12	11	5	1	2	14	15	17	65	5	9	10	1	2	2	1	0	1	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	nan	1	0	0	0	0	0	0	0	0	1	1	nan	0	1	0	0
1	3	nan	2	1	3	1	nan	nan	nan	1	3	nan	0	nan	nan	92250	nan	nan	nan	nan	nan	nan	6	1	1	nan	nan	nan	nan	nan	nan	16	1	2	1	nan	1	0	nan	nan	nan	nan	1	1	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	nan	nan	nan	nan	nan	nan	nan	nan	0	1	nan	nan	nan	nan	nan	nan	nan
1	2	1	3	1	8	2	1	4	2	1	2	3	0	500	1	17250	43	55	43	43	12	13	6	3	1	16	28	28	68	3	12	13	1	2	1	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	nan	0	0	0	1	0	0	0	0	1	0	0	1	0	1	1	0
5	3	1	1	1	7	1	5	3	2	1	2	3	1	1250	1	137250	33	33	33	33	12	12	5	1	3	22	22	22	52	4	13	12	3	2	1	1	0	1	0	0	0	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	1	1	nan	1	1	1	0
5	2	nan	5	1	1	2	nan	nan	nan	1	3	nan	0	nan	nan	45000	nan	nan	nan	nan	nan	nan	5	3	1	nan	nan	nan	nan	nan	nan	17	1	1	3	nan	1	0	nan	nan	nan	nan	1	1	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	nan	nan	nan	nan	nan	nan	nan	nan	0	0	nan	nan	nan	nan	nan	nan	nan
3	13	nan	5	3	2	2	nan	nan	nan	1	2	nan	0	nan	nan	22250	nan	nan	nan	nan	nan	nan	2	3	2	nan	nan	nan	nan	nan	nan	16	2	1	2	nan	0	0	nan	nan	nan	nan	1	1	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	nan	nan	nan	nan	nan	nan	nan	nan	0	1	nan	nan	nan	nan	nan	nan	nan
4	9	nan	3	1	2	1	nan	nan	nan	1	2	nan	0	nan	nan	17250	nan	nan	nan	nan	nan	nan	4	1	4	nan	nan	nan	nan	nan	nan	12	0	0	3	nan	0	0	nan	nan	nan	nan	1	1	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1	nan	nan	nan	nan	nan	nan	nan	nan	0	0	nan	nan	nan	nan	nan	nan	nan
1	3	2	1	3	5	1	2	3	11	6	2	4	0	200	1	112250	7	12	11	11	17	20	3	1	2	27	28	32	35	4	2.5	20	2	3	0	1	0	1	1	0	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	1	1	1	1	1	1
3	11	2	1	3	5	2	5	1	13	2	2	3	3	0	1	32250	13	18	14	14	10	13	3	1	8	17	21	22	38	1	13	12	3	3	1	0	0	1	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	nan	1	1	1	1
3	3	1	6	3	9	1	2	2	12	6	3	10	0	0	4	55000	7	8	8	8	13	16	4	1	1	40	40	41	58	5	12	14	3	2	1	1	1	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	1	0
1	3	nan	5	3	2	1	nan	nan	nan	1	2	nan	0	nan	nan	55000	nan	nan	nan	nan	nan	nan	4	3	1	nan	nan	nan	nan	nan	nan	14	3	2	0	nan	0	0	nan	nan	nan	nan	1	1	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	nan	nan	nan	nan	nan	nan	nan	nan	0	1	nan	nan	nan	nan	nan	nan	nan
1	3	1	1	1	5	2	1	1	11	1	2	1	0	0	1	45000	1	2	2	2.5	20	14	1	3	2	20	20	21	23	5	12	13	1	0	3	1	0	1	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1
4	2	1	1	1	5	1	2	4	2	1	2	8	0	0	1	45000	5	5	5	5	10	10	7	1	2	73	73	73	70	5	16	12	1	3	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	nan	0	0	0	0	0	1	0	0	0	0	1	nan	1	1	0	1
4	1	1	1	1	5	1	1	1	2	1	2	14	5	1310	1	67250	14	15	15	15	13	13	3	1	8	20	20	21	49	5	12	13	1	3	0	1	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	1	1	1	1	1	0
