Q9	PPAGE	PPGENDER	pp4_ppwork	PP2_RESPONDENT_YRSED	PARTNER_YRSED	PARENTAL_APPROVAL	PPINCIMP	Q7B	PAPRELIGION	success
34	40	1	1	16	17	1	16	2	12	1
36	35	2	1	12	12	1	9	3	3	1
56	62	1	5	20	17	1	17	2	13	1
36	41	1	1	16	20	0	12	2	2	1
37	38	1	1	16	16	1	13	2	2	1
29	30	1	1	7.5	7.5	1	14	4	4	1
38	43	1	1	12	14	1	13	3	3	1
38	39	1	1	17	16	0	10	11	12	1
43	59	1	2	20	13	1	15	3	3	1
44	71	2	2	16	12	1	19	5	5	1
28	23	2	1	17	17	1	14	5	5	1
25	25	2	1	16	17	1	11	1	1	1
28	26	1	1	17	16	1	14	3	3	-1
40	36	1	1	16	16	0	11	8	13	1
66	55	1	5	16	7.5	0	11	13	3	1
55	51	1	4	16	16	1	13	3	3	1
37	34	2	4	17	16	0	5	10	7	-1
31	31	1	1	16	16	1	19	2	2	1
41	29	2	1	17	16	1	12	13	2	1
32	45	2	1	16	12	1	11	13	3	1
52	53	2	1	12	16	0	11	13	2	-1
60	34	1	1	13	12	1	13	13	13	1
42	45	2	1	12	12	0	6	1	1	-1
38	39	1	1	16	16	1	12	3	3	1
38	38	1	1	12	20	1	16	13	12	1
32	29	1	1	16	17	1	13	2	13	1
53	61	2	5	16	16	0	9	5	2	1
26	28	1	1	12	14	1	10	2	2	-1
30	38	1	1	16	17	1	13	3	3	1
54	53	2	1	17	17	1	16	11	11	1
26	26	2	1	16	16	1	17	5	3	1
47	40	1	1	12	17	1	13	3	13	1
60	62	1	1	14	13	1	12	2	2	1
27	27	2	1	17	14	1	12	2	11	1
30	35	1	6	13	12	1	13	9	9	1
26	28	2	4	14	16	0	13	12	11	-1
20	22	2	1	16	13	1	13	11	2	-1
50	50	2	1	20	20	1	16	13	13	1
61	55	1	5	16	16	1	11	2	2	1
40	43	1	1	16	16	1	16	3	3	1
33	37	1	1	16	20	1	13	11	12	1
24	24	2	1	17	16	1	16	11	1	1
70	60	2	1	14	13	0	12	3	2	1
23	22	2	4	13	16	1	12	1	11	1
43	49	1	2	13	14	1	14	1	2	1
36	42	1	1	12	14	1	13	2	2	1
52	56	1	2	20	13	1	17	13	13	1
20	20	2	1	16	13	1	16	2	2	1
57	56	1	5	13	16	1	14	3	3	1
22	27	1	3	13	13	0	11	2	2	-1
64	62	2	1	16	16	1	15	2	2	1
55	52	2	6	12	14	0	12	1	1	1
40	39	1	1	12	16	1	13	1	1	1
49	47	1	2	12	17	0	17	5	5	1
28	24	2	3	14	10	0	3	11	13	1
40	44	2	7	10	12	1	13	3	3	1
64	50	2	1	17	13	0	17	5	5	1
27	26	1	1	14	13	0	15	11	12	-1
49	46	2	1	16	12	0	14	3	3	1
30	34	1	2	12	16	1	10	1	1	1
35	52	1	1	12	12	1	18	3	1	1
32	35	1	1	16	16	1	12	4	4	1
19	20	1	1	13	13	0	11	11	9	-1
29	31	1	1	13	13	1	12	11	11	1
48	63	1	1	13	13	1	9	2	2	1
47	54	1	1	14	17	1	19	13	13	1
38	38	1	2	17	17	1	12	12	1	1
48	50	2	2	13	16	1	17	3	3	1
32	27	2	1	12	14	1	11	3	3	1
32	23	1	6	7.5	17	0	10	1	13	-1
41	38	2	2	16	12	1	15	12	5	-1
23	20	2	1	13	13	1	13	13	3	-1
43	46	2	1	17	20	1	16	13	2	1
18	19	1	1	12	12	0	16	1	1	1
24	25	1	1	16	14	1	15	2	10	1
45	46	1	1	12	12	0	12	3	13	-1
66	64	2	5	10	16	0	11	2	11	1
45	48	1	1	12	16	1	15	11	11	1
34	54	1	5	16	14	1	16	3	5	1
52	49	2	1	20	20	1	18	2	2	1
38	41	1	1	12	12	1	7	1	11	1
61	49	1	1	12	20	1	19	3	1	1
29	29	1	1	12	14	1	14	4	4	1
74	71	2	5	14	12	1	14	3	3	1
39	40	1	1	16	20	0	14	2	11	-1
27	26	2	1	16	16	1	16	3	1	1
60	48	2	1	12	14	1	12	1	1	1
30	26	2	7	9	12	1	7	13	1	1
26	27	1	1	16	13	1	13	11	11	1
45	43	2	2	13	14	0	13	3	11	-1
61	57	2	2	16	17	1	10	8	12	-1
39	40	1	1	16	17	1	13	2	2	1
37	37	1	1	16	16	1	17	2	13	1
55	62	2	6	13	13	1	6	1	1	1
33	35	1	1	13	14	1	12	1	1	1
56	60	2	5	16	12	1	11	13	3	1
32	29	2	4	16	16	1	15	2	2	1
49	46	2	6	13	12	1	12	11	11	1
37	44	2	1	13	17	0	15	3	2	-1
49	43	2	1	16	16	0	16	2	3	1
41	39	2	6	13	17	1	4	2	5	-1
69	69	2	5	16	16	0	11	13	11	1
28	28	2	4	16	16	1	12	11	11	1
36	35	2	7	12	12	1	10	1	1	1
42	55	1	2	16	12	1	13	11	3	-1
24	33	1	1	20	16	1	13	3	3	-1
28	27	2	1	13	16	1	12	13	2	1
32	29	2	1	20	17	1	10	3	2	1
29	24	2	1	14	13	1	11	13	2	1
56	56	1	1	17	13	1	17	13	13	1
29	29	1	2	16	13	1	19	11	11	1
31	32	1	1	14	13	0	10	4	4	-1
60	56	2	1	20	16	1	12	13	11	1
44	38	1	1	12	16	1	11	11	11	1
36	30	2	7	12	13	1	12	13	13	1
30	37	2	2	13	13	1	8	13	3	-1
62	64	1	5	12	14	1	11	5	1	1
40	56	1	2	16	13	0	16	2	13	1
52	48	2	1	16	17	1	16	5	5	1
35	44	1	2	13	16	0	7	13	3	-1
64	64	1	5	16	16	1	17	11	2	1
40	41	1	1	14	12	1	7	11	11	1
30	40	1	4	13	12	0	3	2	2	-1
38	35	1	1	17	16	1	14	2	2	1
27	24	2	7	13	13	1	7	11	12	1
40	50	2	1	12	16	1	9	2	3	1
53	48	2	1	12	13	1	14	2	2	1
29	29	1	1	20	17	1	8	2	2	1
39	40	1	1	16	16	0	16	11	11	1
34	38	2	1	12	13	1	12	13	11	-1
37	36	1	1	12	13	0	13	3	3	1
42	44	1	1	16	17	1	19	10	10	1
48	46	2	1	13	13	0	6	12	1	-1
31	29	2	1	13	16	1	13	11	11	1
35	35	1	2	12	12	1	12	11	13	1
51	52	2	1	12	16	1	12	13	2	1
42	44	1	1	17	12	1	18	13	3	1
27	27	2	7	16	16	1	14	4	4	1
51	59	1	1	17	14	1	16	2	2	1
31	33	1	1	17	17	1	19	13	2	1
28	29	2	7	17	17	1	6	11	2	1
52	47	1	1	16	16	1	16	2	3	1
21	35	1	1	16	13	0	12	13	2	-1
60	61	1	5	16	16	1	7	3	13	1
58	47	2	5	16	13	1	15	13	11	1
48	52	1	1	12	12	1	12	12	12	1
60	59	2	5	16	17	1	19	2	2	1
20	19	2	4	13	13	1	14	13	2	1
34	41	1	1	12	14	1	10	13	13	1
48	51	2	1	14	13	0	14	3	3	1
27	26	1	1	14	13	1	12	13	13	1
36	33	1	1	17	17	1	19	5	5	1
28	30	1	1	16	12	1	11	2	3	1
29	29	2	1	20	16	1	13	13	13	1
37	31	2	1	12	16	1	12	1	1	-1
40	38	2	1	12	13	1	11	5	5	1
34	38	1	1	13	13	1	16	2	2	1
43	34	1	1	12	12	1	11	11	11	1
43	44	2	1	17	17	1	16	8	5	-1
26	33	1	4	13	13	1	11	3	13	1
30	24	2	1	13	11	0	3	3	3	1
42	40	1	1	16	16	1	13	13	13	1
35	37	1	1	16	16	1	15	11	11	1
42	36	2	1	16	16	1	16	5	3	-1
34	27	2	1	12	13	1	13	9	9	1
61	58	2	5	17	16	1	15	2	2	1
20	21	1	7	16	13	1	16	1	13	1
28	33	1	1	16	17	1	11	2	3	1
35	47	1	1	16	16	1	19	13	13	1
39	44	1	1	16	17	1	10	2	2	1
58	54	1	1	16	12	1	12	1	11	-1
29	27	2	2	11	11	1	8	2	11	1
27	28	1	1	16	16	1	15	2	11	1
43	31	1	1	12	12	1	15	1	1	1
24	29	2	7	16	16	0	7	13	13	-1
54	52	2	6	7.5	12	1	7	9	9	1
51	45	1	3	11	13	0	10	3	3	-1
38	40	2	1	12	11	1	11	1	2	1
18	21	1	6	12	9	1	14	4	1	-1
30	31	1	1	17	14	0	11	13	8	-1
38	32	2	1	16	7.5	0	15	3	8	1
36	37	1	1	12	13	1	14	2	2	1
55	56	2	2	13	13	1	12	3	3	1
29	24	2	1	13	13	1	7	2	11	1
20	21	1	1	11	12	0	13	2	2	-1
46	39	2	4	14	12	1	2	3	13	1
19	22	1	1	13	13	1	15	3	2	-1
42	39	2	1	12	12	1	16	11	11	1
34	43	1	1	14	13	1	9	11	2	1
46	46	2	1	17	17	1	14	12	2	1
21	20	2	1	13	13	1	15	13	11	-1
52	44	2	1	17	12	1	13	1	3	1
30	29	2	1	16	16	1	11	12	13	1
29	28	1	1	16	16	1	14	2	2	1
44	44	2	1	14	12	1	15	1	3	1
48	43	2	1	16	13	1	19	13	2	1
51	51	1	2	13	17	1	14	2	3	1
37	36	2	1	13	12	0	10	1	2	1
35	35	2	1	17	20	1	16	2	11	1
64	64	1	5	13	12	1	12	2	2	1
50	53	1	1	13	13	1	18	13	3	1
30	28	2	7	12	12	1	13	13	11	1
27	28	2	1	13	13	1	9	11	1	1
30	30	1	1	14	14	0	11	2	2	1
64	53	2	1	16	13	0	11	11	12	-1
31	33	1	1	12	12	1	15	4	4	1
36	36	1	1	20	16	0	17	11	4	1
35	36	1	1	17	16	1	18	3	3	1
31	40	1	1	13	16	1	13	13	13	1
35	41	2	4	12	13	1	16	2	3	-1
22	21	1	7	12	13	1	16	3	1	-1
59	47	2	1	13	20	1	12	2	2	1
