w234_combo_breakup	CASEID_NEW	PPGENDER	PPAGE	PPINCIMP	HOW_LONG_AGO_FIRST_ROMANTIC	SAME_SEX_COUPLE	Q23	Q19	PPEDUC	Q18A_1	Q18A_2	PPINCIMP	MET_THROUGH_FRIENDS	MET_THROUGH_FAMILY	MET_THROUGH_AS_NEIGHBORS	MET_THROUGH_AS_COWORKERS	Q24_CHURCH	Q24_SCHOOL	Q24_COLLEGE	Q31_1	Q31_2	Q31_3	Q31_4	Q31_5	Q31_6	Q31_7	Q31_8	Q31_9	Q31_OTHER_TEXT_ENTERED
0	114276	2	27	13	5	0	3	1	12	 	 	13	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0
1	115473	1	47	15	11	1	1	2	10	0	0	15	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1
0	116271	1	27	12	7	0	1	1	10	 	 	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
0	117401	1	40	14	14	0	3	1	12	 	 	14	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
0	119371	2	37	5	8	0	1	1	9	 	 	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
0	119663	1	66	12	20	0	3	2	11	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0	120456	2	45	17	21	0	3	1	9	 	 	17	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
1	121515	2	51	12	7	0	3	2	12	0	0	12	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
0	122441	2	44	10	24	0	3	1	8	 	 	10	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
1	125346	1	34	9	6	0	2	2	12	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
0	126231	2	23	19	6	0	3	1	11	 	 	19	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
0	128441	1	44	18	3	0	3	1	9	 	 	18	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0	130266	1	26	18	1	0	3	1	12	 	 	18	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0	133521	2	52	13	36	0	3	1	12	 	 	13	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0	134275	2	27	12	2	0	1	2	10	0	0	12	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0
0	134461	1	46	14	0	0	1	2	11	0	0	14	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0	135736	2	73	12	18	1	3	1	10	1	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
0	136275	1	27	13	1	0	1	2	13	0	0	13	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0	137215	2	21	10	0	1	2	2	10	0	0	10	 	 	 	 	 	 	 	0	0	0	0	0	0	0	1	0	0
0	140511	2	51	15	31	0	3	1	9	 	 	15	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
0	142561	2	56	12	39	0	-1	1	10	 	 	12	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
0	143746	1	74	14	43	1	2	1	14	1	0	14	 	 	 	 	 	 	 	0	0	0	0	0	0	0	1	0	0
1	144545	1	54	11	17	0	3	2	14	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0	145611	1	61	14	41	0	1	1	10	 	 	14	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1
1	147245	1	24	15	0	0	1	1	9	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
0	147525	2	52	16	19	1	1	1	13	0	0	16	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
0	150411	1	41	19	8	0	2	1	13	 	 	19	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0	151506	2	50	17	10	0	1	1	12	 	 	17	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0	152762	2	76	3	59	0	2	1	10	 	 	3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
0	154531	1	53	16	29	0	1	1	9	 	 	16	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0	155561	2	56	7	35	0	3	1	10	 	 	7	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1
0	156486	2	48	12	8	1	3	1	11	1	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
0	157421	1	42	13	11	0	3	1	10	 	 	13	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0	158261	2	26	16	8	0	3	1	11	 	 	16	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
1	161715	1	71	8	51	0	2	2	9	0	0	8	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1
0	162521	2	52	12	29	0	3	1	12	 	 	12	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
0	163195	1	19	7	0	0	2	2	9	0	0	7	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
0	166381	1	38	16	10	0	1	1	12	 	 	16	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
1	167245	2	24	2	5	0	3	1	10	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
0	168646	2	64	12	21	1	3	1	10	1	0	12	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0	171391	1	39	12	3	0	2	1	11	 	 	12	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
0	172291	2	29	16	13	0	3	1	12	 	 	16	 	 	 	 	 	 	 	0	1	0	0	0	0	0	0	0	0
0	173671	1	67	8	49	0	1	1	9	 	 	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
0	174603	2	60	10	10	0	3	2	12	0	0	10	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1
0	176495	2	49	16	2	1	1	2	10	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
1	177386	1	38	17	14	1	1	1	12	0	0	17	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0	179461	1	46	17	22	0	1	1	9	 	 	17	 	 	 	 	 	 	 	1	0	0	0	0	0	0	0	0	0
1	180415	1	41	8	17	1	3	1	12	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
0	181403	1	40	12	14	0	2	2	9	0	0	12	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0	185405	1	40	5	1	0	3	2	12	0	0	5	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
0	187511	1	51	18	11	0	3	1	11	 	 	18	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0	189411	1	41	15	22	0	1	1	12	 	 	15	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
1	190215	2	21	12	2	0	2	2	10	0	0	12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
1	191546	1	54	5	36	0	3	2	9	 	 	5	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0	192341	1	34	10	11	0	1	1	9	 	 	10	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0	194441	2	44	11	28	0	3	1	9	 	 	11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0	196851	1	85	11	71	0	1	1	9	 	 	11	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
0	197486	2	48	15	17	1	1	1	10	0	0	15	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
0	199261	2	26	6	7	0	3	1	13	 	 	6	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0
0	202631	1	63	15	36	0	2	1	13	 	 	15	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0
1	203562	1	56	11	2	1	1	2	11	0	0	11	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0	204561	2	56	14	39	0	3	1	9	 	 	14	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0	205421	1	42	13	20	0	1	1	9	 	 	13	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1
0	206541	2	54	13	35	0	3	1	9	 	 	13	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
1	209345	1	34	16	13	0	2	2	9	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
0	211571	2	57	16	40	0	3	1	9	 	 	16	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
1	212505	2	50	6	0	0	3	2	8	0	0	6	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0	214591	1	59	12	32	0	3	1	9	 	 	12	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
1	217365	2	36	5	2	0	3	2	10	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
1	218426	2	42	15	0	1	1	2	13	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
0	219265	1	26	15	12	0	1	1	10	1	0	15	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1
0	220411	1	41	12	11	0	1	1	12	 	 	12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
1	221225	1	22	11	1	0	1	2	10	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
0	222281	1	28	14	5	0	1	1	12	 	 	14	1	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0
0	224425	1	42	7	22	0	1	1	9	1	0	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
0	225411	1	41	18	23	0	3	1	11	 	 	18	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
0	225516	2	51	12	30	1	2	1	10	0	0	12	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1
0	226381	2	38	19	5	1	1	1	14	1	1	19	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1
0	228741	2	74	6	15	0	3	1	7	 	 	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0	229666	2	66	18	16	0	1	1	9	0	0	18	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
0	230271	2	27	12	8	0	3	1	12	 	 	12	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0
0	230651	1	65	9	38	0	1	1	10	 	 	9	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0	231421	1	42	16	24	0	3	1	10	 	 	16	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0
0	233441	1	44	16	20	0	3	1	9	 	 	16	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
1	236195	1	19	5	1	0	3	2	7	0	0	5	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
0	236456	2	45	18	6	1	1	1	10	0	0	18	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1
0	239561	1	56	15	41	0	1	1	13	 	 	15	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0	244431	1	43	12	23	0	1	1	9	 	 	12	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0	245671	2	67	12	45	0	2	1	12	 	 	12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
0	246531	2	53	5	21	0	3	1	9	 	 	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
1	247475	1	47	14	22	1	1	2	13	0	0	14	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
0	249441	1	44	18	23	0	1	1	13	 	 	18	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
0	250546	2	54	16	13	1	2	1	12	0	0	16	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0	251822	1	82	13	58	0	1	1	14	 	 	13	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
1	253483	2	48	15	10	1	3	2	13	0	0	15	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
1	254236	2	23	15	5	0	3	1	10	0	0	15	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0
0	256696	1	69	17	20	1	2	1	13	1	0	17	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
0	257822	2	82	3	65	0	3	1	9	 	 	3	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0
0	259495	1	49	13	4	1	3	1	13	0	0	13	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0	260461	1	46	15	15	0	1	1	13	 	 	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
0	261591	2	59	6	22	0	3	1	4	 	 	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0	262566	1	56	14	21	1	3	1	10	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0	267361	1	36	8	20	0	1	1	12	 	 	8	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
0	269331	1	33	16	13	0	3	1	14	 	 	16	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0
1	270225	2	22	5	0	0	3	2	10	0	0	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0	271623	2	62	14	32	1	1	2	13	0	0	14	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
0	272616	2	61	18	14	1	3	1	12	0	0	18	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
0	273431	2	43	12	15	0	2	1	13	 	 	12	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0
0	273651	1	65	8	31	0	2	1	9	 	 	8	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
0	274536	1	53	17	24	1	1	1	13	0	0	17	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0	275653	1	65	10	45	0	-1	2	10	0	0	10	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
0	277391	1	39	8	16	0	2	1	10	 	 	8	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
1	278413	2	41	11	0	1	3	2	12	0	0	11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
0	279534	2	53	5	12	0	1	2	8	 	 	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0	282691	1	69	7	43	0	1	1	14	 	 	7	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
0	283386	2	38	14	3	1	3	1	14	0	0	14	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
1	284426	2	42	12	2	1	1	1	9	0	0	12	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
0	286556	1	55	12	14	1	3	1	13	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
0	287496	2	49	9	1	0	2	1	11	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
0	288666	1	66	13	5	0	1	1	11	 	 	13	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
1	289486	2	48	2	13	0	3	1	6	1	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
0	290531	2	53	11	23	0	3	1	6	 	 	11	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1
0	291286	1	28	19	5	0	1	1	12	0	0	19	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0	293336	2	33	7	14	0	3	1	10	0	0	7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1
0	295531	1	53	9	30	0	1	1	11	 	 	9	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
0	296851	1	85	19	50	0	2	1	12	 	 	19	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
1	297285	1	28	13	1	1	1	1	9	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
0	298551	1	55	14	37	0	1	1	14	 	 	14	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
1	301251	2	25	15	7	0	3	1	11	 	 	15	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
0	303195	2	19	8	2	0	3	1	9	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
0	304561	1	56	18	12	0	1	1	12	 	 	18	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
0	305321	2	32	14	12	0	1	1	12	 	 	14	 	 	 	 	 	 	 	0	0	0	1	0	0	0	0	0	0
0	306336	2	33	13	11	0	3	1	9	 	 	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
1	307423	2	42	11	0	0	1	2	10	1	0	11	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0	307461	2	46	16	31	0	3	1	14	 	 	16	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1
1	309276	2	27	12	1	0	2	1	12	0	0	12	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
1	312373	2	37	6	3	1	3	2	11	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0	320631	2	63	10	31	0	1	1	9	 	 	10	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0	321421	1	42	15	22	0	1	1	12	 	 	15	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
0	322421	1	42	15	16	0	1	1	12	 	 	15	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0	323481	2	48	12	26	0	3	1	9	 	 	12	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1
0	326341	1	34	13	14	0	1	1	10	 	 	13	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0	328341	1	34	11	9	0	1	1	10	 	 	11	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
0	329551	2	55	13	26	0	3	1	8	 	 	13	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0	330496	1	49	18	30	1	2	1	10	1	0	18	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1
0	331691	2	69	6	50	0	1	1	14	 	 	6	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1
0	332401	2	40	19	20	0	1	1	13	 	 	19	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0	333541	1	54	14	8	1	3	1	12	1	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0	335326	2	32	10	1	0	3	1	9	0	0	10	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
1	336205	2	20	18	6	0	1	2	10	0	0	18	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
0	337581	1	58	14	38	0	1	1	9	 	 	14	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
0	338546	2	54	13	34	1	1	1	10	0	1	13	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
1	341391	2	39	16	4	0	3	1	10	 	 	16	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0	342596	2	59	19	19	1	1	1	14	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0	343421	1	42	14	26	0	1	1	14	 	 	14	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
0	344396	2	39	15	9	1	1	1	13	0	0	15	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
1	345491	2	49	15	10	0	1	2	13	 	 	15	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1
0	346371	1	37	11	19	0	1	1	10	 	 	11	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
0	347716	2	71	12	17	1	2	1	12	1	0	12	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
